,address,price
2019,275 harbor way,1499
2020,1901 pointe lane,1660
2021,1901 pointe lane,1390
2022,twin lakes dr.,959
2024,1005 maiden lane,1499
2025,1980 pauline boulevard,1189
2026,2960 international dr.,959
2027,825 tappan ave,1345
2028,3400 nixon rd,1476
2029,3400 nixon rd,1511
203,414 s division st,1295
2030,1355 s. winter st.,775
2031,schooner cove boulevard,979
2032,1245 astor avenue,1575
2033,825 tappan ave,1495
2034,2502 packard st.,2799
2036,1751 cass lake front st,925
2037,stadium blvd,1079
2038,140 lauff drive,1030
2039,825 tappan ave,1595
204,275 harbor way,1885
2040,1082 e. chicago blvd.,885
2041,south main street,1368
2043,1980 pauline boulevard,1029
2044,2911 bynan,969
2045,525 w. highland rd,1029
2046,pauline,1209
2047,1980 pauline boulevard,1209
2048,825 tappan ave,1595
2049,275 harbor way,1399
2051,2960 international drive,1019
2052,twin lakes dr.,889
2053,2501 keystone lane,1035
2054,2911 bynan dr.,919
2055,508 hill st,4595
2057,527 s 4th ave,1295
2058,1000 w huron st,1250
2059,554 s 5th ave,1499
206,1082 e chicago blvd,885
2060,825 tappan ave,1595
2062,728 s main st,1395
2063,140 lauff drive,1040
2064,908 sybil st,1625
2065,1000 w huron st,1175
2066,2353 twin lakes dr,1109
2067,101 lake village,1502
2068,459 village green blvd,1303
207,leslie circle,1559
2070,1980 pauline boulevard,1189
2071,2501 keystone lane,1035
2073,3050 birch hollow dr,1210
2074,553 s 4th ave,1195
2075,140 lauff drive,970
2076,twin lakes dr,1369
2077,2020 arbor circle east,1279
208,w liberty,1389
2080,2820 windwood,1644
2081,1863 collins ct.,999
2082,417 n hamilton st,1395
2083,1840 collins ct,999
2084,1315 oak valley dr,1245
2085,1450 chestnut drive,930
2086,3265 boardwalk drive,1530
2087,518 e william st,1765
2088,1837 davis st.,999
2089,2044 mcdivitt ct.,1364
209,1984 traver rd,1469
2091,"275 fieldcrest street , mi 48103",1415
2092,308 packard street,995
2093,baker,1304
2095,419 montgomery avenue,1900
2096,2002 brampton court,2000
2097,1942 west liberty,1429
2098,1980 pauline boulevard,1189
2099,south main street,1587
21,275 harbor way,1399
2100,3100 s. winter st.,815
2101,south main street,1420
2102,stadium blvd,1179
2103,stadium blvd,1179
2104,200 trealout dr.,970
2105,1984 traver rd,1489
2106,2224 golfside drive,989
2107,stadium blvd,1179
2108,2960 birch hallow dr.,1009
2109,3400 nixon rd,2687
211,1245 astor ave,1480
2111,2224 golfside drive,1076
2112,3400 nixon rd,2100
2113,27883 independence st,925
2114,2960 birch hallow dr.,1009
2115,2960 birch hollow dr,1029
2116,3400 nixon rd,1995
2117,3400 nixon rd,1572
2118,2960 birch hollow dr,1029
2119,3400 nixon rd,1476
212,221 normal,995
2120,955 sumpter road,1100
2121,2960 birch hallow dr.,969
2122,3400 nixon rd,1511
2123,3100 s. winter st.,825
2124,1550 brookfield,1489
2125,1550 brookfield,1589
2126,49000 denton road,852
2127,1980 pauline boulevard,1189
2128,49000 denton road,828
2129,dewey,1400
213,2835 roundtree blvd,1039
2130,dexter,1450
2131,southlawn,1800
2132,49000 denton road,878
2133,2820 windwood,1644
2134,latson,1100
2135,1863 collins ct.,999
2136,1840 collins ct,999
2137,1837 davis st.,999
2138,twin lakes drive,959
2139,1550 brookfield,1489
2140,clark rd,1350
2141,1984 traver rd,1469
2142,2501 keystone ln,1035
2143,2501 keystone ln,1035
2144,2501 keystone ln,1035
